Ex_mean Ex_std Ey_mean Ey_std lossx_mean lossx_std lossy_mean lossy_std
0.54535969 0.00649871 0.52717444 0.00718496 0.08117595 0.00107823 0.08010941 0.00080134
0.53907143 0.00910287 0.53158735 0.00830732 0.07962387 0.00091360 0.08374429 0.00103288
0.54132840 0.00750267 0.53596873 0.00779024 0.08052480 0.00089528 0.08488213 0.00115945
0.54053842 0.01006695 0.54203296 0.00711828 0.08064181 0.00108284 0.07822098 0.00130400
0.53959614 0.00674308 0.53232774 0.00597314 0.08025333 0.00091922 0.08100383 0.00081476
0.54083855 0.00940786 0.53439514 0.00832889 0.07545779 0.00081806 0.08502746 0.00117497
0.54322688 0.00732379 0.53611434 0.00855867 0.07947543 0.00118333 0.07665848 0.00130838
0.54081147 0.00921784 0.53968659 0.00958417 0.07779752 0.00109718 0.08141628 0.00109969
0.54565544 0.00750722 0.54650433 0.00901907 0.08214229 0.00129533 0.07770295 0.00093822
0.53836794 0.00717170 0.53393058 0.00797588 0.08061274 0.00084753 0.07819537 0.00097236
0.54667334 0.00545015 0.53898036 0.00870181 0.08021497 0.00098036 0.07956297 0.00080506
0.53692232 0.00614121 0.53118366 0.00933232 0.07847993 0.00088071 0.08197361 0.00098570
0.54180415 0.00763290 0.53487923 0.00709577 0.08027381 0.00114359 0.08425578 0.00113873
0.54565563 0.00923317 0.53919468 0.00680259 0.07937613 0.00128624 0.08162107 0.00117682
0.54368032 0.00949280 0.53353872 0.00805331 0.08320171 0.00103704 0.08074808 0.00108975
0.53379109 0.00742200 0.53688711 0.00687109 0.08167250 0.00113504 0.08454786 0.00122617
0.53706273 0.00862585 0.53760809 0.00908660 0.07457747 0.00113398 0.08075244 0.00090924
0.53215754 0.00752322 0.53418947 0.00665400 0.07972629 0.00097261 0.07991343 0.00094420
0.53292485 0.00720057 0.53700158 0.00772202 0.08488479 0.00091771 0.07792057 0.00106273
0.53346352 0.00711252 0.53325343 0.00851834 0.08002942 0.00080892 0.08163247 0.00103907
0.54576590 0.00640633 0.53653739 0.00858127 0.08259983 0.00094393 0.08097338 0.00080866
0.53438338 0.00828657 0.54370243 0.00834676 0.07903839 0.00110577 0.08095585 0.00092223
0.54719616 0.00598539 0.52947515 0.00904572 0.08084074 0.00101412 0.07793467 0.00098672
0.53874505 0.00939301 0.53663495 0.00708314 0.08017963 0.00100528 0.08008675 0.00089083
0.53517868 0.00582554 0.53634727 0.00769791 0.08303013 0.00080844 0.08212422 0.00092841
0.53935910 0.00701993 0.52930295 0.00967194 0.08063979 0.00120791 0.08168861 0.00086620
0.53657283 0.00604843 0.53068714 0.00655526 0.07912053 0.00099649 0.07740000 0.00140050
0.54373270 0.00923205 0.53557829 0.00856031 0.08111179 0.00109063 0.08355117 0.00096207
0.54219585 0.00946964 0.53131460 0.00813276 0.07994100 0.00111141 0.08067657 0.00110150
0.53399568 0.00972980 0.53432053 0.01093082 0.08353144 0.00100921 0.07959619 0.00100101
0.55529867 0.00942392 0.52871091 0.00898446 0.08091965 0.00078769 0.08237839 0.00110564
0.54568673 0.00805320 0.53617869 0.00904572 0.08281437 0.00110372 0.08067450 0.00106384
0.55055279 0.00804815 0.52571569 0.00455400 0.08293638 0.00076617 0.08145954 0.00115177
0.54526413 0.00781742 0.52960087 0.00753159 0.07880785 0.00108324 0.08267266 0.00082444
0.53360867 0.00997365 0.55172413 0.01022744 0.08066091 0.00105613 0.08290994 0.00100262
0.55043678 0.01107179 0.54015173 0.00690462 0.08386806 0.00082126 0.07472030 0.00089684
0.53788024 0.00736831 0.53219909 0.00816705 0.07857614 0.00092410 0.07750101 0.00077121
0.54889309 0.00775874 0.54228932 0.00787860 0.07884731 0.00116962 0.07860569 0.00113730
0.55404251 0.00619328 0.54555616 0.01015901 0.08124029 0.00102410 0.08109418 0.00103489
0.54353637 0.00777354 0.54509590 0.00744669 0.07998826 0.00093009 0.08181294 0.00092909
0.54859159 0.00655146 0.53286663 0.00692036 0.07994762 0.00107436 0.08004449 0.00107987
0.54305998 0.00695003 0.53958266 0.00798435 0.08142922 0.00089812 0.08105451 0.00116521
0.55080481 0.00598035 0.54410148 0.00955660 0.07927479 0.00102303 0.08131735 0.00098988
0.54442295 0.00913188 0.54291222 0.00782287 0.08121616 0.00090853 0.08011895 0.00108577
0.54078978 0.00820538 0.54030688 0.00693674 0.08012644 0.00113976 0.08392906 0.00098012
0.54728176 0.00905354 0.54007393 0.01099441 0.08427225 0.00050971 0.07852812 0.00106714
0.54894898 0.00776186 0.54544620 0.00857991 0.08241952 0.00098466 0.07889206 0.00088172
0.56140926 0.00862252 0.54891288 0.00723441 0.08230099 0.00119984 0.08067153 0.00096351
0.53854449 0.00796182 0.54213219 0.00938384 0.08151997 0.00087062 0.07628823 0.00121484
0.53927334 0.01020374 0.55410682 0.00649544 0.08094901 0.00107605 0.07805010 0.00087728
0.54751370 0.00547267 0.54157675 0.00790657 0.08034215 0.00096359 0.08193465 0.00120575
