vxy_mean vxy_std vyx_mean vyx_std e1max_mean e1max_std
0.40770000 0.02570000 0.39440000 0.03510000 1.70500000 0.00500000
0.40780000 0.03030000 0.39680000 0.03680000 1.55690000 0.00310000
0.41000000 0.02970000 0.41520000 0.03500000 1.66030000 0.00410000
0.40150000 0.02820000 0.40340000 0.03280000 2.13620000 0.00460000
0.39300000 0.02510000 0.42560000 0.03120000 1.66000000 0.00460000
0.42210000 0.02210000 0.41300000 0.03280000 1.62220000 0.00360000
0.40490000 0.02420000 0.42760000 0.03830000 1.97780000 0.00390000
0.39760000 0.02560000 0.40310000 0.03750000 1.93430000 0.00390000
0.40110000 0.02410000 0.40720000 0.03390000 1.88210000 0.00380000
0.39800000 0.02700000 0.40840000 0.03250000 1.68010000 0.00360000
0.40410000 0.02830000 0.40620000 0.03550000 1.66570000 0.00370000
0.40640000 0.02480000 0.40620000 0.03560000 1.71430000 0.00400000
0.40790000 0.02270000 0.40720000 0.03540000 1.96900000 0.00710000
0.40820000 0.02630000 0.40100000 0.03420000 1.63100000 0.00390000
0.40130000 0.02680000 0.40000000 0.03640000 1.76880000 0.00340000
0.40460000 0.02520000 0.40870000 0.03440000 1.94060000 0.00420000
0.40880000 0.02650000 0.40490000 0.03810000 1.89600000 0.00410000
0.39060000 0.02400000 0.40770000 0.03550000 1.70570000 0.00490000
0.40310000 0.02610000 0.40340000 0.03910000 1.95200000 0.00390000
0.40250000 0.02240000 0.39800000 0.03750000 1.74540000 0.00550000
0.42040000 0.02640000 0.40120000 0.03080000 1.78130000 0.00450000
0.41140000 0.02210000 0.41940000 0.03800000 2.19640000 0.00360000
0.41200000 0.02520000 0.40270000 0.03650000 1.95030000 0.00450000
0.41460000 0.02530000 0.41060000 0.03480000 1.74930000 0.00400000
0.40420000 0.02430000 0.41150000 0.03570000 1.72490000 0.00550000
0.40350000 0.02660000 0.40810000 0.03260000 1.97290000 0.00440000
0.41390000 0.02450000 0.41200000 0.03950000 2.01770000 0.00470000
0.41000000 0.02870000 0.40460000 0.03040000 1.98240000 0.00380000
0.39620000 0.02650000 0.41030000 0.03500000 1.69190000 0.00520000
0.40210000 0.03010000 0.42220000 0.03500000 2.28670000 0.00410000
0.40570000 0.02600000 0.41840000 0.03450000 1.81210000 0.00370000
0.40120000 0.02610000 0.40470000 0.03500000 1.73470000 0.00370000
0.40110000 0.02610000 0.40580000 0.03510000 1.81960000 0.00400000
0.40850000 0.02490000 0.39600000 0.03630000 1.82830000 0.00350000
0.38970000 0.02540000 0.39950000 0.03690000 1.94690000 0.00490000
0.41690000 0.02500000 0.40320000 0.03810000 2.21720000 0.00480000
0.40310000 0.02510000 0.40860000 0.03470000 2.13020000 0.00350000
0.39460000 0.02750000 0.39490000 0.03350000 2.31210000 0.00450000
0.39080000 0.02690000 0.41580000 0.03390000 2.01900000 0.00430000
0.39480000 0.02720000 0.40000000 0.03280000 1.70860000 0.00490000
0.39470000 0.02320000 0.40660000 0.03500000 2.36430000 0.00600000
0.38870000 0.02180000 0.40740000 0.03720000 1.80510000 0.00450000
0.39410000 0.02520000 0.40070000 0.03830000 1.77180000 0.00310000
0.41490000 0.02630000 0.39010000 0.03560000 2.44770000 0.00400000
0.39370000 0.02650000 0.40380000 0.03400000 1.88200000 0.00490000
0.39690000 0.02640000 0.41590000 0.03260000 2.00490000 0.00380000
0.38430000 0.02470000 0.41900000 0.03240000 2.35630000 0.00570000
0.39260000 0.02430000 0.41050000 0.03410000 2.42590000 0.00510000
0.41250000 0.02920000 0.41690000 0.03370000 1.64600000 0.00380000
0.40080000 0.02530000 0.41260000 0.03720000 1.53070000 0.00380000
0.40570000 0.02840000 0.41180000 0.03990000 1.66470000 0.00460000
0.40810000 0.02320000 0.41630000 0.03560000 1.82400000 0.00390000
0.41210000 0.02780000 0.43070000 0.03240000 1.69750000 0.00570000
0.40670000 0.02470000 0.41020000 0.03870000 1.60770000 0.00460000
